Geography,2019 pop,2019 total movers,2019 rate,2020 pop,2020 total movers,2020 rate,2021 pop,2021 movers,2021 rate,,,,,Note
description,current residence in 2019,moved between regions by region of residence 1 year ago,rate of current residents who moved one year ago,,,,,,,,,,,From Q: Where did you live 1 year ago
US total,"320,984,519","3,899,172",0.01214753912,"322,943,283","3,885,897",0.01203275375,"326,169,561","3,931,857",0.01205464111,,,,,
Northeast,"55,443,988",,,"55,436,905",,,"56,795,011",,,,,,,
Total to Northeast,,"531,977",0.00959485454,,"533,405",0.009621839459,,"554,601",0.009764959813,,,,,
,,,,,,,,,,,,,,
Midwest to Northeast,,"93,977",0.001694989906,,"93,670",0.001689668642,,"96,432",0.001697895613,,,,,
South to Northeast,,"307,765",0.005550917441,,"305,635",0.005513204606,,"314,409",0.005535855957,,,,,
West to Northeast,,"130,235",0.002348947193,,"134,100",0.00241896621,,"143,760",0.002531208243,,,,,
Midwest,"67,320,595",,,"67,445,784",,,"68,044,561",,,,,,,
Total to Midwest,,"778,478",0.01156374212,,"766,190",0.01136008739,,"774,159",0.01137723557,,,,,
Northeast to Midwest,,"120,145",0.001784669313,,"120,493",0.001786516411,,"121,241",0.001781788261,,,,,
,,,,,,,,,,,,,,
South to Midwest,,"415,691",0.006174796881,,"407,454",0.006041207854,,"406,946",0.005980580873,,,,,
West to Midwest,,"242,642",0.003604275928,,"238,243",0.00353236312,,"245,972",0.00361486644,,,,,
South,"121,961,882",,,"123,189,505",,,"124,023,239",,,,,,,
Total to South,,"1,608,506",0.01318859609,,"1,613,631",0.01309877006,,"1,650,926",0.01331142464,,,,,
Northeast to South,,"539,872",0.004426563375,,"535,363",0.004345849105,,"536,984",0.004329704693,,,,,
Midwest to South,,"540,879",0.004434820053,,"526,874",0.004276939014,,"528,626",0.004262314097,,,,,
,,,,,,,,,,,,,,
West to South,,"527,755",0.004327212661,,"551,394",0.004475981943,,"585,316",0.004719405853,,,,,
West,"76,258,054",,,"76,871,089",,,"77,306,750",,,,,,,
Total to West,,"980,211",0.01285386852,,"972,671",0.01265327463,,"952,171",0.01231678993,,,,,
Northeast to West,,"191,019",0.00250490263,,"193,714",0.002519985114,,"189,974",0.002457405078,,,,,
Midwest to West,,"292,833",0.003840027179,,"290,294",0.003776374236,,"283,689",0.003669653685,,,,,
South to West,,"496,359",0.006508938715,,"488,663",0.006356915277,,"478,508",0.006189731168,,,,,
,,,,,,,,,,,,,,
Note TODO,,,,,,,,,,,,,,