State,State Name,NAICS,NAICS Description,Enterprise Size,Establishments 2018,Establishments 2019,Establishments 2020,Employment 2018,Employment 2019,Employment 2020,2018-2019 Establishments percent change,2019-2020 Establishments percent change,2018-2019 Employment percent change,2019-2020 Employment percent change,2018 population,2019 population,2020 population,2018 employment/population,2019 employment/population,2020 employment/population,2018-2019 employment/population percent change,2019-2020 employment/population percent change
00,United States,443142,Electronics Stores,01: Total,"20,688","19,188","17,743","251,602","239,152","216,976",-0.07250580046,-0.07530748384,-0.05205894159,-0.1022048521,"326,838,199","328,329,953","329,484,123",0.0007698059797,0.000728389225,0.0006585324902,-0.05380154983,-0.09590577726
01,Alabama,443142,Electronics Stores,01: Total,220,199,186,"2,380","2,363","1,818",-0.09545454545,-0.06532663317,-0.007194244604,-0.299779978,"4,891,628","4,907,965","4,921,532",0.0004865455836,0.0004814622761,0.0003693971714,-0.01044775177,-0.2327598863
02,Alaska,443142,Electronics Stores,01: Total,47,43,37,437,418,381,-0.08510638298,-0.1395348837,-0.04545454545,-0.09711286089,"736,624","733,603","731,158",0.0005932470297,0.0005697904725,0.0005210912005,-0.03953927456,-0.08546873688
04,Arizona,443142,Electronics Stores,01: Total,334,312,308,"5,404","5,051","4,380",-0.06586826347,-0.01282051282,-0.06988715106,-0.153196347,"7,164,228","7,291,843","7,421,401",0.0007543031852,0.0006926918202,0.0005901850607,-0.08167984209,-0.1479832105
05,Arkansas,443142,Electronics Stores,01: Total,167,160,153,"1,674","1,693","1,546",-0.04191616766,-0.04375,0.01122268163,-0.09508408797,"3,012,161","3,020,985","3,030,522",0.0005557471862,0.0005604132427,0.0005101431371,0.008396005703,-0.0897018518
06,California,443142,Electronics Stores,01: Total,"2,413","2,251","2,050","35,806","33,076","29,429",-0.0671363448,-0.08929364727,-0.08253718708,-0.1239253797,"39,437,463","39,437,610","39,368,078",0.0009079184429,0.000838691797,0.0007475345888,-0.0762476481,-0.1086897577
08,Colorado,443142,Electronics Stores,01: Total,383,351,327,"5,444","4,988","4,197",-0.08355091384,-0.06837606838,-0.09141940658,-0.1884679533,"5,697,155","5,758,486","5,807,719",0.0009555646634,0.0008661999005,0.0007226589303,-0.09352037217,-0.1657134457
09,Connecticut,443142,Electronics Stores,01: Total,235,221,206,"3,025","2,921","2,632",-0.05957446809,-0.06787330317,-0.03560424512,-0.1098024316,"3,574,561","3,566,022","3,557,006",0.0008462577642,0.0008191200166,0.0007399481474,-0.03206794518,-0.09665478518
10,Delaware,443142,Electronics Stores,01: Total,69,64,62,897,887,886,-0.07246376812,-0.03125,-0.01127395716,-0.001128668172,"966,985","976,668","986,809",0.0009276255578,0.0009081898864,0.000897843453,-0.02095206541,-0.01139236805
11,District of Columbia,443142,Electronics Stores,01: Total,21,21,22,386,309,446,0,0.04761904762,-0.2491909385,0.3071748879,"704,147","708,253","712,816",0.0005481809906,0.0004362847739,0.0006256874144,-0.2041227598,0.4341261758
12,Florida,443142,Electronics Stores,01: Total,"1,534","1,420","1,323","20,110","19,030","18,465",-0.07431551499,-0.06830985915,-0.05675249606,-0.03059842946,"21,254,926","21,492,056","21,733,312",0.0009461336163,0.0008854434401,0.0008496173984,-0.06414546012,-0.04046112954
13,Georgia,443142,Electronics Stores,01: Total,688,629,560,"6,759","6,419","5,867",-0.08575581395,-0.1096979332,-0.05296775199,-0.09408556332,"10,519,389","10,628,020","10,710,017",0.0006425278122,0.000603969507,0.0005478049195,-0.06001032868,-0.09299242249
15,Hawaii,443142,Electronics Stores,01: Total,72,64,59,"1,056",981,934,-0.1111111111,-0.078125,-0.07645259939,-0.05032119914,"1,423,102","1,415,615","1,407,006",0.0007420409781,0.0006929850277,0.0006638209077,-0.06610948968,-0.04208477656
16,Idaho,443142,Electronics Stores,01: Total,111,109,106,"1,147","1,050",912,-0.01801801802,-0.02752293578,-0.09238095238,-0.1513157895,"1,752,074","1,789,060","1,826,913",0.0006546527144,0.0005869003834,0.0004992027535,-0.1034935463,-0.1494250684
17,Illinois,443142,Electronics Stores,01: Total,796,709,630,"9,355","8,833","8,074",-0.1092964824,-0.1114245416,-0.05909656968,-0.09400544959,"12,724,685","12,667,017","12,587,530",0.0007351851932,0.0006973228188,0.0006414284613,-0.05150045833,-0.08015564088
18,Indiana,443142,Electronics Stores,01: Total,385,388,362,"4,523","4,441","4,061",0.007792207792,-0.06701030928,-0.01846430984,-0.09357301157,"6,698,481","6,731,010","6,754,953",0.0006752277121,0.0006597821129,0.0006011884909,-0.0228746523,-0.08880753345
19,Iowa,443142,Electronics Stores,01: Total,206,216,202,"1,908","1,959","1,767",0.04854368932,-0.06481481481,0.02603369066,-0.1086587436,"3,149,900","3,159,596","3,163,561",0.0006057335153,0.0006200159767,0.0005585477884,0.02357878673,-0.09913968452
20,Kansas,443142,Electronics Stores,01: Total,161,157,147,"2,069","2,014","1,725",-0.0248447205,-0.06369426752,-0.02730883813,-0.1675362319,"2,912,748","2,912,635","2,913,805",0.0007103257817,0.0006914700949,0.0005920094172,-0.02654512512,-0.1438394494
21,Kentucky,443142,Electronics Stores,01: Total,221,229,210,"2,483","2,458","2,200",0.03619909502,-0.08296943231,-0.01017087063,-0.1172727273,"4,464,273","4,472,345","4,477,251",0.000556193584,0.0005495998184,0.0004913729429,-0.011855163,-0.1059441317
22,Louisiana,443142,Electronics Stores,01: Total,298,282,270,"2,810","2,699","2,442",-0.05369127517,-0.04255319149,-0.04112634309,-0.1052416052,"4,664,450","4,658,285","4,645,318",0.0006024290109,0.0005793977827,0.0005256905986,-0.03823060949,-0.09269483883
23,Maine,443142,Electronics Stores,01: Total,73,77,69,782,795,681,0.05479452055,-0.1038961039,0.01635220126,-0.1674008811,"1,340,123","1,345,770","1,350,141",0.0005835285269,0.0005907398738,0.0005043917635,0.01235817383,-0.1461694294
24,Maryland,443142,Electronics Stores,01: Total,387,359,333,"4,841","4,678","4,427",-0.07235142119,-0.07242339833,-0.03484395041,-0.05669753784,"6,042,153","6,054,954","6,055,802",0.0008012044713,0.0007725905102,0.0007310344691,-0.03571368129,-0.05378792587
25,Massachusetts,443142,Electronics Stores,01: Total,457,416,373,"6,160","5,979","4,975",-0.08971553611,-0.1033653846,-0.03027262084,-0.2018090452,"6,885,720","6,894,883","6,893,574",0.0008946050667,0.0008671648235,0.0007216866026,-0.03067302456,-0.1677630561
26,Michigan,443142,Electronics Stores,01: Total,693,635,580,"6,848","6,281","5,750",-0.08369408369,-0.08661417323,-0.09027224964,-0.09234782609,"9,987,286","9,984,795","9,966,555",0.0006856717631,0.0006290564804,0.0005769295408,-0.08256907423,-0.08286527705
27,Minnesota,443142,Electronics Stores,01: Total,304,277,250,"4,244","3,994","3,577",-0.08881578947,-0.09747292419,-0.06259389084,-0.1165781381,"5,608,762","5,640,053","5,657,342",0.0007566732195,0.0007081493738,0.0006322757224,-0.06412787513,-0.1071435691
28,Mississippi,443142,Electronics Stores,01: Total,166,163,154,"1,674","1,545","1,445",-0.01807228916,-0.05521472393,-0.08349514563,-0.06920415225,"2,982,879","2,978,227","2,966,786",0.0005612027843,0.0005187650236,0.0004870590599,-0.07561929815,-0.06111816006
29,Missouri,443142,Electronics Stores,01: Total,333,311,296,"3,626","3,417","2,993",-0.06606606607,-0.04823151125,-0.06116476441,-0.1416638824,"6,125,986","6,140,475","6,151,548",0.0005919047154,0.0005564716085,0.0004865441999,-0.05986285635,-0.1256621317
30,Montana,443142,Electronics Stores,01: Total,88,82,79,545,542,499,-0.06818181818,-0.03658536585,-0.005535055351,-0.08617234469,"1,061,818","1,070,123","1,080,577",0.0005132706358,0.0005064838341,0.0004617903213,-0.01322265733,-0.08824272328
31,Nebraska,443142,Electronics Stores,01: Total,123,122,118,"1,693","1,580","1,463",-0.008130081301,-0.03278688525,-0.07151898734,-0.07997265892,"1,925,512","1,932,571","1,937,552",0.0008792466627,0.0008175637532,0.0007550765089,-0.07015427202,-0.0764310355
32,Nevada,443142,Electronics Stores,01: Total,162,141,143,"2,486","2,362","2,171",-0.1296296296,0.01418439716,-0.05249788315,-0.08797789037,"3,030,725","3,090,771","3,138,259",0.000820265778,0.0007642106128,0.0006917848399,-0.06833780791,-0.09477200613
33,New Hampshire,443142,Electronics Stores,01: Total,115,114,101,"1,741","1,708","1,497",-0.008695652174,-0.1140350877,-0.01932084309,-0.1409485638,"1,355,064","1,360,783","1,366,275",0.001284810164,0.001255159713,0.001095679859,-0.02307769006,-0.1270594109
34,New Jersey,443142,Electronics Stores,01: Total,654,598,517,"7,266","7,029","6,298",-0.08562691131,-0.135451505,-0.03371745625,-0.1160685932,"8,891,730","8,891,258","8,882,371",0.000817163814,0.0007905517982,0.000709044916,-0.03256631703,-0.1031012545
35,New Mexico,443142,Electronics Stores,01: Total,113,110,105,"1,375","1,265","1,185",-0.02654867257,-0.04545454545,-0.08695652174,-0.06751054852,"2,093,754","2,099,634","2,106,319",0.0006567151633,0.0006024859571,0.0005625928456,-0.08257644904,-0.06621417642
36,New York,443142,Electronics Stores,01: Total,"1,735","1,530","1,330","18,416","17,517","16,231",-0.1181556196,-0.1307189542,-0.05132157333,-0.07923110098,"19,544,098","19,463,131","19,336,776",0.0009422793521,0.0009000093562,0.0008393850143,-0.044859304,-0.06735967954
37,North Carolina,443142,Electronics Stores,01: Total,551,522,498,"7,007","6,959","5,900",-0.05263157895,-0.04597701149,-0.00689754275,-0.1794915254,"10,391,358","10,501,384","10,600,823",0.0006743103259,0.0006626745579,0.0005565605614,-0.01725580575,-0.1601298787
38,North Dakota,443142,Electronics Stores,01: Total,62,59,58,690,670,643,-0.04838709677,-0.01694915254,-0.02985074627,-0.04199066874,"760,062","763,724","765,309",0.0009078206778,0.000877280274,0.0008401835076,-0.0336414498,-0.04228610576
39,Ohio,443142,Electronics Stores,01: Total,739,694,664,"7,785","7,592","6,967",-0.06089309878,-0.04322766571,-0.02542149631,-0.08970862638,"11,680,892","11,696,507","11,693,217",0.0006664730741,0.0006490826706,0.0005958155057,-0.02609318252,-0.08206530124
40,Oklahoma,443142,Electronics Stores,01: Total,241,213,214,"3,049","2,894","2,670",-0.1161825726,0.004694835681,-0.05355908777,-0.08389513109,"3,943,488","3,960,676","3,980,783",0.0007731733937,0.000730683348,0.0006707223177,-0.05495539042,-0.08206158039
41,Oregon,443142,Electronics Stores,01: Total,281,258,242,"3,348","3,161","2,901",-0.08185053381,-0.06201550388,-0.05915849415,-0.08962426749,"4,183,538","4,216,116","4,241,507",0.000800279572,0.0007497421798,0.0006839550188,-0.06314967166,-0.08774637832
42,Pennsylvania,443142,Electronics Stores,01: Total,772,714,670,"8,226","7,951","7,307",-0.07512953368,-0.06162464986,-0.03458684442,-0.08813466539,"12,809,107","12,798,883","12,783,254",0.0006421993352,0.0006212260867,0.000571607198,-0.03265847125,-0.07987251303
44,Rhode Island,443142,Electronics Stores,01: Total,82,77,75,"1,006",896,818,-0.06097560976,-0.02597402597,-0.1227678571,-0.09535452323,"1,059,338","1,058,158","1,057,125",0.0009496496869,0.0008467544544,0.0007737968547,-0.1083507254,-0.08616145965
45,South Carolina,443142,Electronics Stores,01: Total,244,225,219,"2,755","2,640","2,304",-0.07786885246,-0.02666666667,-0.04356060606,-0.1458333333,"5,091,702","5,157,702","5,218,040",0.0005410764416,0.0005118558614,0.0004415451012,-0.05400453243,-0.1373643744
46,South Dakota,443142,Electronics Stores,01: Total,66,66,60,487,480,450,0,-0.09090909091,-0.01458333333,-0.06666666667,"879,386","887,127","892,717",0.0005537954891,0.0005410724733,0.0005040791203,-0.02297421358,-0.06837042142
47,Tennessee,443142,Electronics Stores,01: Total,370,327,307,"4,736","4,240","3,669",-0.1162162162,-0.06116207951,-0.1169811321,-0.1556282366,"6,778,180","6,830,325","6,886,834",0.0006987126338,0.0006207610912,0.0005327556901,-0.1115645243,-0.141770163
48,Texas,443142,Electronics Stores,01: Total,"1,843","1,679","1,566","23,941","22,588","20,386",-0.08898534997,-0.06730196546,-0.05989906145,-0.1080153046,"28,624,564","28,986,794","29,360,759",0.0008363795515,0.0007792514067,0.0006943280996,-0.06830409077,-0.1089806272
49,Utah,443142,Electronics Stores,01: Total,209,202,190,"2,548","2,585","2,372",-0.03349282297,-0.05940594059,0.01431334623,-0.08979763912,"3,155,153","3,203,383","3,249,879",0.0008075678105,0.0008069593926,0.0007298733276,-0.0007533954105,-0.09552657263
50,Vermont,443142,Electronics Stores,01: Total,35,31,30,264,223,204,-0.1142857143,-0.03225806452,-0.1838565022,-0.0931372549,"624,802","624,046","623,347",0.0004225338587,0.0003573454521,0.0003272655519,-0.1542797229,-0.08417597031
51,Virginia,443142,Electronics Stores,01: Total,558,539,533,"6,736","6,669","6,425",-0.03405017921,-0.01113172542,-0.01004648373,-0.0379766537,"8,510,920","8,556,642","8,590,563",0.0007914538029,0.0007793945335,0.0007479137281,-0.0152368582,-0.04039136026
53,Washington,443142,Electronics Stores,01: Total,378,366,315,"4,623","4,592","4,206",-0.03174603175,-0.1393442623,-0.00675087108,-0.09177365668,"7,526,793","7,614,024","7,693,612",0.0006142058112,0.0006030976524,0.0005466873037,-0.01808540154,-0.09353435303
54,West Virginia,443142,Electronics Stores,01: Total,78,65,71,758,662,662,-0.1666666667,0.09230769231,-0.1450151057,0,"1,805,953","1,795,263","1,784,787",0.0004197229939,0.0003687482001,0.0003709126075,-0.1214486566,0.00586960797
55,Wisconsin,443142,Electronics Stores,01: Total,349,333,313,"3,965","3,794","3,483",-0.04584527221,-0.06006006006,-0.045071165,-0.08929084123,"5,809,319","5,824,581","5,832,655",0.0006825240618,0.0006513773265,0.0005971551549,-0.04563463323,-0.08324233809
56,Wyoming,443142,Electronics Stores,01: Total,66,58,50,308,274,255,-0.1212121212,-0.1379310345,-0.1240875912,-0.07450980392,"579,054","580,116","582,328",0.0005319020333,0.0004723193292,0.0004378975423,-0.112018192,-0.07287820936