Date,Grocery,Book stores,Shoe stores,Pharmacy
2018-01-01,52565,1207,2058,23549
2018-02-01,48628,634,2672,21336
2018-03-01,54680,652,3243,23348
2018-04-01,50861,624,2890,22506
2018-05-01,55043,691,3112,24074
2018-06-01,53334,632,2853,22588
2018-07-01,53918,605,3209,22753
2018-08-01,54220,1214,3850,23870
2018-09-01,52338,863,2709,22138
2018-10-01,53419,637,2829,24740
2018-11-01,54291,664,3282,23756
2018-12-01,56938,1121,4217,24866
2019-01-01,55129,1006,2201,24464
2019-02-01,49263,574,2745,22729
2019-03-01,54928,593,3417,24008
2019-04-01,53632,639,3080,24222
2019-05-01,57051,685,3064,25030
2019-06-01,55192,604,2845,23125
2019-07-01,56678,581,3154,23908
2019-08-01,57143,1107,4069,24047
2019-09-01,53335,856,2653,22892
2019-10-01,55225,637,2785,25220
2019-11-01,56351,627,3116,23140
2019-12-01,57915,1050,4152,25516
2020-01-01,55651,967,2174,24806
2020-02-01,52691,575,2781,23471
2020-03-01,70364,393,1737,27235
2020-04-01,61070,171,477,24137
2020-05-01,64601,263,1675,23806
2020-06-01,60052,369,2772,24763
2020-07-01,62713,415,2802,25641
2020-08-01,60368,729,2906,24762
2020-09-01,58028,583,2685,25251
2020-10-01,60018,425,2742,26425
2020-11-01,60142,461,2683,24310
2020-12-01,63149,834,3953,27830
2021-01-01,61122,754,2247,25088
2021-02-01,55729,415,2177,23403
2021-03-01,60978,493,3702,27872
2021-04-01,59984,459,3378,26907
2021-05-01,64156,563,3586,26226
2021-06-01,62702,624,3316,27218
2021-07-01,64816,630,3442,26794
2021-08-01,64426,1018,3892,27350
2021-09-01,63034,777,2921,26961
2021-10-01,65497,612,2997,27607
2021-11-01,64864,621,3279,27066
2021-12-01,69312,1051,4477,30489
2022-01-01,65825,803,2159,27662
2022-02-01,60068,513,2586,25467
2022-03-01,65983,535,3434,28112
2022-04-01,65835,585,3286,27322
2022-05-01,68853,613,3416,27736
2022-06-01,68083,560,3149,28087
2022-07-01,69721,595,3395,27464
2022-08-01,68652,1055,4232,28514
2022-09-01,67214,799,3175,28190
2022-10-01,69551,587,3148,28991